ISO3Code,UNCode,OfficialName,UNICEFReportRegion1,UNICEFReportRegion2,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion5,M49Region1,M49Region2,M49Region3,WBRegion4,UNICEFRegion,SDGRegion,M49Region,SDGRegionrev1,SDGRegionrev2,GBDRegion1,GBDRegion,sdg,unicef,gbd,m49,wb,sdg.rev1,sdg.rev2,SDGRegion3,SDGRegionrev3,sdg.rev3
HRV,191,Croatia,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
HTI,332,Haiti,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Low income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,1,5,5,Caribbean (M49),Latin America and the Caribbean,3
HUN,348,Hungary,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
IDN,360,Indonesia,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
IND,356,India,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Lower middle income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,2,1,1,Southern Asia (MDG=M49),Southern Asia,6
IRL,372,Ireland,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
IRN,364,Iran (Islamic Republic of),Middle East and North Africa,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Upper middle income,Middle East and North Africa,Central Asia and Southern Asia,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,1,5,1,1,3,4,1,Southern Asia (MDG=M49),Southern Asia,6
IRQ,368,Iraq,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
ISL,352,Iceland,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
ISR,376,Israel,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,Western Europe,High income,4,5,4,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
ITA,380,Italy,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
JAM,388,Jamaica,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Caribbean (M49),Latin America and the Caribbean,3
JOR,400,Jordan,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
JPN,392,Japan,East Asia and Pacific,,Eastern Asia and South-eastern Asia,Eastern Asia,,Asia,Eastern Asia,,High income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,High-income Asia Pacific,High income,7,7,4,1,4,6,7,Eastern Asia (M49),Eastern Asia and South-eastern Asia,1
KAZ,398,Kazakhstan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Upper middle income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,3,3,3,Central Asia (M49),Eastern Europe and Central Asia,2
KEN,404,Kenya,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
KGZ,417,Kyrgyzstan,Europe and Central Asia,Eastern Europe and Central Asia,Central Asia and Southern Asia,Central Asia,,Asia,Central Asia,,Lower middle income,Eastern Europe and Central Asia,Central Asia and Southern Asia,Asia,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Asia,"Central Europe, Eastern Europe,Central Asia",1,3,3,1,2,3,3,Central Asia (M49),Eastern Europe and Central Asia,2
KHM,116,Cambodia,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
KIR,296,Kiribati,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6,Micronesia (M49),Oceania,5
KNA,659,Saint Kitts and Nevis,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,4,5,5,Caribbean (M49),Latin America and the Caribbean,3
KOR,410,Republic of Korea,East Asia and Pacific,,Eastern Asia and South-eastern Asia,Eastern Asia,,Asia,Eastern Asia,,High income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,High-income Asia Pacific,High income,7,7,4,1,4,6,7,Eastern Asia (M49),Eastern Asia and South-eastern Asia,1
KWT,414,Kuwait,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
LAO,418,Lao People's Democratic Republic,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
LBN,422,Lebanon,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,Upper middle income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,3,4,4,Western Asia (M49),Western Asia and Northern Africa,8
LBR,430,Liberia,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
LBY,434,Libya,Middle East and North Africa,,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Upper middle income,Middle East and North Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,2,3,4,4,Northern Africa (M49),Western Asia and Northern Africa,8
LCA,662,Saint Lucia,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Caribbean,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,5,6,5,4,3,5,5,Caribbean (M49),Latin America and the Caribbean,3
LKA,144,Sri Lanka,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Upper middle income,South Asia,Central Asia and Southern Asia,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Southern Asia (MDG=M49),Southern Asia,6
LSO,426,Lesotho,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Lower middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,2,2,2,Southern Africa (M49),Sub-Saharan Africa,7
LTU,440,Lithuania,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
LUX,442,Luxembourg,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
LVA,428,Latvia,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
MAR,504,Morocco,Middle East and North Africa,,Western Asia and Northern Africa,Northern Africa,,Africa,Northern Africa,,Lower middle income,Middle East and North Africa,Western Asia and Northern Africa,Africa,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,2,2,4,4,Northern Africa (M49),Western Asia and Northern Africa,8
MCO,492,Monaco,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
MDA,498,Republic of Moldova,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,Lower middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Eastern Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,2,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
MDG,450,Madagascar,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
MDV,462,Maldives,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Upper middle income,South Asia,Central Asia and Southern Asia,Asia,Western Asia and Northern Africa,,Southeast Asia,"Southeast Asia, East Asia, Oceania",1,1,7,1,3,4,1,Southern Asia (MDG=M49),Southern Asia,6
MEX,484,Mexico,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,Central America (M49),Latin America and the Caribbean,3
MHL,584,Marshall Islands,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Micronesia (M49),Oceania,5
MKD,807,Republic of North Macedonia,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
MLI,466,Mali,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
MLT,470,Malta,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
MMR,104,Myanmar,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
MNE,499,Montenegro,Europe and Central Asia,Eastern Europe and Central Asia,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,Upper middle income,Eastern Europe and Central Asia,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,3,3,3,3,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
MNG,496,Mongolia,East Asia and Pacific,,Eastern Asia and South-eastern Asia,Eastern Asia,,Asia,Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Central Asia,"Central Europe, Eastern Europe,Central Asia",7,7,3,1,2,6,7,Eastern Asia (M49),Eastern Asia and South-eastern Asia,1
MOZ,508,Mozambique,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
MRT,478,Mauritania,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Western Africa (M49),Sub-Saharan Africa,7
MUS,480,Mauritius,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Upper middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southeast Asia,"Southeast Asia, East Asia, Oceania",2,2,7,2,3,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
MWI,454,Malawi,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Eastern Africa,,Low income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,1,2,2,Eastern Africa (M49),Sub-Saharan Africa,7
MYS,458,Malaysia,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Upper middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,3,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
NAM,516,Namibia,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,,,Africa,Southern Africa,,Upper middle income,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Southern Sub-Saharan Africa,Sub-Saharan Africa,2,2,2,2,3,2,2,Southern Africa (M49),Sub-Saharan Africa,7
NER,562,Niger,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Low income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,1,2,2,Western Africa (M49),Sub-Saharan Africa,7
NGA,566,Nigeria,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,,,Africa,Western Africa,,Lower middle income,West and Central Africa,Sub-Saharan Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,Western Sub-Saharan Africa,Sub-Saharan Africa,2,8,2,2,2,2,2,Western Africa (M49),Sub-Saharan Africa,7
NIC,558,Nicaragua,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,Lower middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,2,5,5,Central America (M49),Latin America and the Caribbean,3
NIU,570,Niue,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Polynesia,,,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,NA,6,6,Polynesia (M49),Oceania,5
NLD,528,Netherlands,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Western Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Western Europe (M49),"Northern America, Central Asia and Europe",4
NOR,578,Norway,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Northern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Northern Europe (M49),"Northern America, Central Asia and Europe",4
NPL,524,Nepal,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Low income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,1,1,1,Southern Asia (MDG=M49),Southern Asia,6
NRU,520,Nauru,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,Upper middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,3,6,6,Micronesia (M49),Oceania,5
NZL,554,New Zealand,East Asia and Pacific,,Oceania,Australia and New Zealand,"North America, Europe, Australia and New Zealand",Oceania,Australia and New Zealand,,High income,East Asia and Pacific,Australia and New Zealand,Oceania,"Northern America, Australia and New Zealand, Central Asia and Europe",Oceania,Australasia,High income,6,7,4,5,4,3,6,Australia and New Zealand (M49),Oceania,5
OMN,512,Oman,Middle East and North Africa,,Western Asia and Northern Africa,Western Asia,,Asia,Western Asia,,High income,Middle East and North Africa,Western Asia and Northern Africa,Asia,Western Asia and Northern Africa,Western Asia and Northern Africa,North Africa and Middle East,North Africa and Middle East,4,5,1,1,4,4,4,Western Asia (M49),Western Asia and Northern Africa,8
PAK,586,Pakistan,South Asia,,Central Asia and Southern Asia,Southern Asia,,Asia,Southern Asia,,Lower middle income,South Asia,Central Asia and Southern Asia,Asia,Southern Asia,Southern Asia,South Asia,South Asia,1,1,6,1,2,1,1,Southern Asia (MDG=M49),Southern Asia,6
PAN,591,Panama,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,Central America,High income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Central Latin America,Latin America & Caribbean,5,6,5,4,4,5,5,Central America (M49),Latin America and the Caribbean,3
PER,604,Peru,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Andean Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
PHL,608,Philippines,East Asia and Pacific,,Eastern Asia and South-eastern Asia,South-eastern Asia,South Eastern Asia and Oceania (excl. Australia and New Zealand),Asia,South-Eastern Asia,,Lower middle income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,Southeast Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,2,6,7,South-eastern Asia (MDG=M49),Eastern Asia and South-eastern Asia,1
PLW,585,Palau,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Micronesia,,High income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,4,6,6,Micronesia (M49),Oceania,5
PNG,598,Papua New Guinea,East Asia and Pacific,,Oceania,Oceania excluding Australia and New Zealand,South Eastern Asia and Oceania (excl. Australia and New Zealand),Oceania,Melanesia,,Lower middle income,East Asia and Pacific,Oceania excluding Australia and New Zealand,Oceania,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Oceania,Oceania,"Southeast Asia, East Asia, Oceania",8,7,7,5,2,6,6,Melanesia (M49),Oceania,5
POL,616,Poland,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Eastern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Central Europe,"Central Europe, Eastern Europe,Central Asia",3,4,3,3,4,3,3,Eastern Europe (M49),Eastern Europe and Central Asia,2
PRK,408,Democratic People's Republic of Korea,East Asia and Pacific,,Eastern Asia and South-eastern Asia,Eastern Asia,,Asia,Eastern Asia,,Low income,East Asia and Pacific,Eastern Asia and South-eastern Asia,Asia,"Eastern Asia, South Eastern Asia and Oceania (excl. Australia and New Zealand)",Eastern Asia and South-eastern Asia,East Asia,"Southeast Asia, East Asia, Oceania",7,7,7,1,1,6,7,Eastern Asia (M49),Eastern Asia and South-eastern Asia,1
PRT,620,Portugal,Europe and Central Asia,Western Europe,Northern America and Europe,Europe,"North America, Europe, Australia and New Zealand",Europe,Southern Europe,,High income,Western Europe,Northern America and Europe,Europe,"Northern America, Australia and New Zealand, Central Asia and Europe","Northern America, Central Asia and Europe",Western Europe,High income,3,4,4,3,4,3,3,Southern Europe (M49),"Northern America, Central Asia and Europe",4
PRY,600,Paraguay,Latin America and Caribbean,,Latin America and the Caribbean,,,Americas,Latin America and the Caribbean,South America,Upper middle income,Latin America and Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Tropical Latin America,Latin America & Caribbean,5,6,5,4,3,5,5,South America (M49),Latin America and the Caribbean,3
